OPERADORA_PAIS,Date,Population
GB,2019-07,66778659
GB,2019-08,66778659
GB,2019-09,66778659
GB,2019-10,66778659
GB,2019-11,66778659
GB,2019-12,66778659
GB,2020-01,67059474
GB,2020-02,67059474
GB,2020-03,67059474
GB,2020-04,67059474
GB,2020-05,67059474
GB,2020-06,67059474
GB,2020-07,67059474
GB,2020-08,67059474
GB,2020-09,67059474
GB,2020-10,67059474
GB,2020-11,67059474
GB,2020-12,67059474
GB,2021-01,67281040
GB,2021-02,67281040
GB,2021-03,67281040
GB,2021-04,67281040
GB,2021-05,67281040
GB,2021-06,67281040
GB,2021-07,67281040
GB,2021-08,67281040
GB,2021-09,67281040
GB,2021-10,67281040
GB,2021-11,67281040
GB,2021-12,67281040
GB,2022-01,67508936
GB,2022-02,67508936
GB,2022-03,67508936
GB,2022-04,67508936
GB,2022-05,67508936
GB,2022-06,67508936
GB,2022-07,67508936
GB,2022-08,67508936
GB,2022-09,67508936
GB,2022-10,67508936
GB,2022-11,67508936
GB,2022-12,67508936
GB,2023-01,67736802
GB,2023-02,67736802
GB,2023-03,67736802
GB,2023-04,67736802
GB,2023-05,67736802
GB,2023-06,67736802
GB,2023-07,67736802
GB,2023-08,67736802
GB,2023-09,67736802
GB,2023-10,67736802
GB,2023-11,67736802
GB,2023-12,67736802
US,2018-01,332140038
US,2018-02,332140038
US,2018-03,332140038
US,2018-04,332140038
US,2018-05,332140038
US,2018-06,332140038
US,2018-07,332140038
US,2018-08,332140038
US,2018-09,332140038
US,2018-10,332140038
US,2018-11,332140038
US,2018-12,332140038
US,2019-01,334319671
US,2019-02,334319671
US,2019-03,334319671
US,2019-04,334319671
US,2019-05,334319671
US,2019-06,334319671
US,2019-07,334319671
US,2019-08,334319671
US,2019-09,334319671
US,2019-10,334319671
US,2019-11,334319671
US,2019-12,334319671
US,2020-01,335942004
US,2020-02,335942004
US,2020-03,335942004
US,2020-04,335942004
US,2020-05,335942004
US,2020-06,335942004
US,2020-07,335942004
US,2020-08,335942004
US,2020-09,335942004
US,2020-10,335942004
US,2020-11,335942004
US,2020-12,335942004
US,2021-01,336997624
US,2021-02,336997624
US,2021-03,336997624
US,2021-04,336997624
US,2021-05,336997624
US,2021-06,336997624
US,2021-07,336997624
US,2021-08,336997624
US,2021-09,336997624
US,2021-10,336997624
US,2021-11,336997624
US,2021-12,336997624
US,2022-01,338289857
US,2022-02,338289857
US,2022-03,338289857
US,2022-04,338289857
US,2022-05,338289857
US,2022-06,338289857
US,2022-07,338289857
US,2022-08,338289857
US,2022-09,338289857
US,2022-10,338289857
US,2022-11,338289857
US,2022-12,338289857
US,2023-01,339996564
US,2023-02,339996564
US,2023-03,339996564
US,2023-04,339996564
US,2023-05,339996564
US,2023-06,339996564
US,2023-07,339996564
US,2023-08,339996564
US,2023-09,339996564
US,2023-10,339996564
US,2023-11,339996564
US,2023-12,339996564
UY,2018-01,3427042
UY,2018-02,3427042
UY,2018-03,3427042
UY,2018-04,3427042
UY,2018-05,3427042
UY,2018-06,3427042
UY,2018-07,3427042
UY,2018-08,3427042
UY,2018-09,3427042
UY,2018-10,3427042
